date	score1	score2	score3	score4	score5	score6	score7	score8	score9	score10	score11	score12
20131227	-2.6	-2.6	-2.6	-1.853993436717835	-2.6	-1.859135940344461	-2.6	-2.6	-1.8181639437483397	-2.6	-2.6	-2.6
20140107	-2.6	-2.6	-2.6	-2.1826253875896597	-2.6	-1.9507619437062738	-2.6	-2.6	-1.908615492986712	-2.6	-2.6	-2.6
20140111	-2.6	-2.6	-2.6	-1.8330831432129786	-2.6	-1.9310509231635604	-2.6	-2.6	-1.8162498935200888	-2.6	-2.6	-2.6
20140120	-2.6	-2.6	-2.6	-1.633621443188835	-2.6	-1.9784161220501408	-2.6	-2.6	-1.8531526307105612	-2.6	-2.6	-2.6
20140128	-2.6	-2.6	-2.6	-1.7488454624734686	-2.6	-2.0628156250565834	-2.6	-2.6	-2.043489513242769	-2.6	-2.6	-2.6
20140208	-2.6	-2.6	-2.6	-1.6707461515267692	-2.01747626348859	-1.9761879008103052	-2.6	-2.6	-1.9726376719364813	-2.6	-2.054170948642871	-2.6
20140217	-2.6	-2.6	-2.6	-1.7154230391611358	-2.0380507468826994	-1.99978958170375	-2.6	-2.6	-2.091753816555755	-2.6	-2.0615087769286795	-2.6
20140221	-2.6	-2.6	-2.6	-1.7666930892155872	-2.2331237977815106	-2.2088986867722697	-2.6	-2.6	-2.0678281773136935	-2.6	-2.3395962164761657	-2.6
20140224	-2.6	-2.6	-2.6	-1.5684854047247807	-1.9177624483398659	-2.018924224904586	-2.6	-1.7690851457543948	-1.8301651920887858	-2.6	-1.9499346540763325	-2.6
20140303	-2.6	-2.6	-2.6	-1.6524913703699156	-1.9301629141325227	-2.051851056421915	-2.6	-1.8949085547876345	-1.8912595677036357	-2.6	-1.883523159211741	-2.6
20140307	-2.6	-2.6	-2.6	-1.7538698804355686	-2.0893043257217085	-2.2016326236966863	-2.6	-1.7459905917111422	-2.00663704695644	-2.6	-1.978003976171344	-2.6
20140310	-2.6	-2.6	-2.6	-1.7150803126065302	-2.0232722450766008	-2.131354160746339	-2.6	-1.8291679727671297	-1.9881717714594827	-2.6	-1.851300059624519	-2.6
20140407	-2.6	-2.6	-2.6	-1.790071941490228	-1.9592451296077793	-2.6	-2.6	-1.8456690453836364	-1.984221138178631	-2.6	-2.0514087075913743	-2.6
20140416	-2.6	-2.6	-2.6	-1.8062285495853105	-2.018128147695475	-2.6	-2.6	-1.833309483637812	-2.008776149193648	-2.6	-2.10054004358818	-2.6
20140421	-2.6	-2.6	-2.6	-1.8001526504369652	-2.0595734811765527	-2.6	-2.6	-1.7517435153980916	-2.0207241271915604	-2.6	-1.990467808151295	-2.6
20140428	-2.6	-2.6	-2.6	-1.75142808218393	-2.0152942045935647	-2.6	-2.6	-1.8101144921699464	-2.035303209101095	-2.6	-1.9405588078036842	-2.6
20140503	-2.6	-2.6	-2.6	-1.7731703845140008	-2.1180409505312507	-2.6	-2.6	-1.9545354247840674	-2.074435155108595	-2.6	-1.8657791644657504	-2.6
20140510	-2.6	-2.6	-2.6	-1.8197164634655258	-1.991492323000379	-2.6	-2.6	-1.9335843977845195	-2.033198772376331	-2.6	-2.059111742319247	-2.6
20140517	-2.6	-2.6	-2.6	-1.9369110751497027	-2.268328763491733	-2.6	-2.6	-1.9093302411580977	-2.1253166590361108	-2.6	-2.2393408930792655	-2.6
20140524	-2.6	-2.6	-2.6	-1.9584770517207182	-2.20110501931719	-2.6	-2.6	-1.8924476883221506	-2.0642036170773332	-2.6	-2.1340464565597466	-2.6
20140529	-2.6	-2.6	-2.6	-1.9346787686561242	-2.0563643478667024	-2.6	-2.6	-1.8201706232146861	-1.9564398841113733	-2.6	-2.0141866747281028	-2.6
20140604	-2.6	-2.6	-2.6	-1.94854004389028	-2.224691216134178	-2.6	-2.6	-1.8593044300045203	-1.9993819344083155	-2.6	-1.9801132331922093	-2.6
20140607	-2.6	-2.6	-2.6	-1.9694912404613003	-2.157755484440674	-2.6	-2.6	-1.856550827812383	-1.991797437504384	-2.6	-2.040438850181427	-2.6
20140611	-2.6	-2.6	-2.6	-1.9671535983785258	-2.0438192715067705	-2.6	-2.6	-1.8958523009063566	-1.9900130024874998	-2.6	-2.0384773286100337	-2.6
20140619	-2.6	-2.6	-2.6	-1.9945157641326652	-2.130634036751155	-2.6	-2.6	-1.893602503235095	-1.7781668726077289	-2.6	-2.6	-2.6
20140624	-2.6	-2.1653598600877295	-2.6	-2.0600217740855147	-2.6	-2.6	-2.6	-2.0312467004615744	-2.6	-2.6	-2.6	-2.6
20140630	-2.6	-2.2890750706258367	-2.007845403497404	-2.109369689615309	-2.6	-2.6	-2.6	-2.205181359860474	-2.6	-2.2615380797145193	-2.6	-2.6
20140705	-2.6	-2.266344342971009	-1.8973638117556801	-2.6	-2.6	-2.6	-2.6	-2.0916826931880665	-2.6	-2.2416737067671573	-2.6	-2.6
20140720	-2.6	-2.2054849121199354	-1.839323362412258	-2.6	-2.6	-2.6	-2.6	-2.2077804361732625	-2.6	-2.280669232326626	-2.6	-2.6
20140726	-2.6	-2.187377081185111	-1.8366593013320225	-2.6	-2.6	-2.6	-2.6	-2.323673796653794	-2.6	-2.2714108300271483	-2.6	-2.6
20140730	-2.6	-2.2240001441070305	-1.7822176472674245	-2.6	-2.6	-2.6	-2.6	-2.6	-2.6	-2.151512474489932	-2.6	-2.6
20140803	-2.6	-2.6	-1.9057769916857503	-2.6	-2.6	-2.6	-2.6	-2.6	-2.6	-2.283751258314776	-2.6	-2.6
20140809	-2.6	-2.6	-1.9444929383444203	-2.6	-2.6	-2.6	-2.6	-2.6	-2.6	-2.2633054802372943	-2.6	-2.6
20140814	-2.1032158228405926	-2.6	-1.9302384967806647	-2.6	-2.6	-2.6	-2.6	-2.6	-2.6	-2.2501299647912765	-2.6	-2.6
20140822	-1.825248686577606	-2.6	-1.9286215343542579	-2.6	-2.6	-2.6	-2.6	-2.6	-2.6	-2.217928319723252	-2.6	-2.6
20140827	-2.227556885275037	-2.6	-2.0214045336624777	-2.6	-2.6	-2.6	-2.6	-2.6	-2.6	-2.3312923401516708	-2.6	-2.6
20140831	-1.773262065721371	-2.6	-1.8163450846083022	-2.6	-2.6	-2.6	-2.6	-2.6	-2.6	-2.136416373691398	-2.6	-2.6
20140905	-2.141986779561269	-2.6	-1.9296199187561636	-2.6	-2.6	-2.6	-1.859351549019118	-2.6	-2.6	-2.2726264969818577	-2.6	-2.6
20140911	-2.1459763976929596	-2.6	-1.9609340627464122	-2.6	-2.6	-2.6	-2.1093583595571315	-2.6	-2.6	-2.3258679315061244	-2.6	-2.6
20140915	-2.1339555832035275	-2.6	-1.952575768359655	-2.6	-2.6	-2.6	-1.897174461209613	-2.6	-2.6	-2.6	-2.6	-2.213908124994492
20140924	-2.1867514658734017	-2.6	-1.9246309211945407	-2.6	-2.6	-2.6	-2.026570208707008	-2.6	-2.6	-2.6	-2.6	-2.288373580969272
20140926	-2.2256173284217686	-2.6	-1.8749073219420218	-2.6	-2.6	-2.6	-1.9220065061881706	-2.6	-2.6	-2.6	-2.6	-2.3968464977141983
20140930	-2.1907219025677156	-2.6	-1.9464432002098908	-2.6	-2.6	-2.6	-1.9516405829410883	-2.6	-2.6	-2.6	-2.6	-2.308139406317277
20141004	-2.2703308181431194	-2.6	-1.944011612483949	-2.6	-2.6	-2.6	-2.041390316746456	-2.6	-2.6	-2.6	-2.6	-2.451750910703868
20141008	-2.1356175555120376	-2.6	-1.9109781678563407	-2.6	-2.6	-2.6	-1.7311396569781337	-2.6	-2.6	-2.6	-2.6	-2.147905789532672
20141011	-2.308848770143043	-2.6	-2.027395483409605	-2.6	-2.6	-2.6	-2.242514958005727	-2.6	-2.6	-2.6	-2.6	-2.3766642001235176
