id,username,position,posts,ppd,up,down,registered
27,Save0nDrugs,Vendor,62,0.446,13.0,2.0,"December 08, 2013"
61,SpringHorse,Full Member,120,0.876,14.0,30.0,"December 09, 2013"
138,MeanieMart,Vendor,15,0.076,2.0,0.0,"October 11, 2013"
178,SuperTrips,Vendor,52,0.397,0.0,5.0,"December 15, 2013"
188,lexq,Vendor,9,0.069,5.0,0.0,"December 16, 2013"
207,bartenderscott,Full Member,102,0.779,1.0,1.0,"December 17, 2013"
251,lovestochill,Full Member,102,0.895,2.0,0.0,"December 20, 2013"
321,C_2_C,Sr. Member,457,3.715,28.0,8.0,"December 23, 2013"
425,ChillBill,Full Member,120,1.017,8.0,2.0,"December 28, 2013"
489,mdma88,Full Member,114,0.974,6.0,11.0,"December 30, 2013"
541,ikeburna,Full Member,148,1.298,8.0,19.0,"January 01, 2014"
566,BushDoofRave,Full Member,102,1.074,3.0,0.0,"January 02, 2014"
639,MuadDib,Vendor,69,0.639,7.0,2.0,"January 06, 2014"
668,Dutch Pride,Vendor,11,0.058,1.0,0.0,"October 19, 2013"
706,CLKR,Full Member,138,0.762,8.0,3.0,"October 27, 2013"
728,SnowStorm,Vendor,6,0.035,1.0,1.0,"November 08, 2013"
730,sweetpuff,Vendor,5,0.03,0.0,0.0,"November 08, 2013"
740,Jmc007,Full Member,106,0.635,11.0,4.0,"November 11, 2013"
743,MeisterProper,Vendor,17,0.103,8.0,4.0,"November 12, 2013"
748,Triumvirate,Vendor,97,0.599,0.0,1.0,"November 13, 2013"
761,TheHerbalist,Vendor,6,0.037,2.0,2.0,"November 17, 2013"
815,Weedmaster101,Vendor,4,0.026,0.0,1.0,"November 20, 2013"
888,MarleysMainMan,Vendor,8,0.052,2.0,0.0,"November 25, 2013"
905,JackBlue,Vendor,3,0.015,2.0,0.0,"October 09, 2013"
938,Dr. Paradise,Vendor,69,0.466,20.0,2.0,"November 28, 2013"
961,AusGuy,Vendor,5,0.034,0.0,0.0,"November 30, 2013"
977,Righteous,Full Member,117,0.929,3.0,0.0,"December 01, 2013"
986,Halfbaked,Vendor,12,0.083,0.0,6.0,"December 01, 2013"
993,Pharmington Rex,Vendor,26,0.131,5.0,2.0,"October 10, 2013"
1068,juicybooty,Full Member,245,1.713,23.0,11.0,"December 03, 2013"
1129,Caslava,Vendor,4,0.02,2.0,0.0,"October 08, 2013"
1168,Nidge,Vendor,166,0.933,81.0,10.0,"October 29, 2013"
1193,RepAAA,Vendor,9,0.054,1.0,0.0,"November 09, 2013"
1210,FreeMarketPrice,Vendor,5,0.027,0.0,3.0,"October 21, 2013"
1245,MrPotatoHead,Full Member,101,0.743,2.0,0.0,"December 12, 2013"
1246,p0l0,Full Member,161,1.118,17.0,5.0,"December 02, 2013"
1266,dankestkush,Vendor,75,0.577,3.0,18.0,"December 16, 2013"
1283,MrMcfeely,Vendor,54,0.355,0.0,1.0,"November 24, 2013"
1341,aKid,Vendor,73,0.553,17.0,4.0,"December 14, 2013"
1350,the real caliconnect,Vendor,19,0.13,2.0,4.0,"December 02, 2013"
1356,Burning Paradise,Vendor,5,0.029,1.0,0.0,"November 06, 2013"
1526,The Guy Fawkes,Full Member,112,0.696,17.0,4.0,"November 17, 2013"
1568,identity,Vendor,55,0.462,1.0,1.0,"December 28, 2013"
1665,MoneySell,Vendor,58,0.532,0.0,0.0,"January 08, 2014"
1682,immortalQ,Full Member,215,1.92,20.0,17.0,"January 04, 2014"
1689,iNeed Sleep,Full Member,136,1.36,7.0,5.0,"January 15, 2014"
1698,DoctorZoidberg,Vendor,79,0.545,5.0,2.0,"December 01, 2013"
1706,It Burns,Full Member,124,1.051,9.0,6.0,"December 30, 2013"
1723,Whitedreams,Full Member,107,0.939,6.0,32.0,"January 03, 2014"
1732,fragg3r,Full Member,103,1.04,2.0,0.0,"January 16, 2014"
1754,FelixUK,Vendor,66,0.418,1.0,0.0,"November 17, 2013"
1755,namedeclined,Vendor,9,0.048,6.0,1.0,"October 20, 2013"
1763,Shine Cartel,Vendor,396,4.0,51.0,65.0,"January 16, 2014"
1774,DeepDotWeb,Journalist,79,0.494,17.0,5.0,"November 17, 2013"
1793,oxiD,Vendor,6,0.033,1.0,0.0,"October 27, 2013"
1808,astrac,Full Member,204,1.291,22.0,2.0,"November 18, 2013"
1810,DrWalterB,Full Member,234,1.232,47.0,1.0,"October 17, 2013"
1816,cactuschomper,Full Member,211,1.256,30.0,10.0,"November 08, 2013"
1817,BeepBeep,Vendor,8,0.04,1.0,0.0,"October 09, 2013"
1822,magickpaul,Full Member,221,1.567,13.0,11.0,"December 05, 2013"
1825,cascas,Sr. Member,457,2.418,69.0,51.0,"October 19, 2013"
1827,Alb3r7,Full Member,115,1.0,5.0,4.0,"January 01, 2014"
1829,TheBadger,Full Member,181,1.071,20.0,9.0,"November 08, 2013"
1836,Green-Machine,Vendor,74,0.54,128.0,52.0,"December 08, 2013"
1837,murderface2012,Hero Member,1084,6.818,247.0,49.0,"November 17, 2013"
1838,MC Haberdasher,Full Member,112,0.569,25.0,4.0,"October 10, 2013"
1839,Pimpim123,Full Member,111,0.867,8.0,2.0,"December 18, 2013"
1840,depuis90,Full Member,133,1.008,5.0,13.0,"December 15, 2013"
1841,Mseller,Vendor,23,0.116,3.0,1.0,"October 09, 2013"
1842,B4B,Full Member,245,1.612,74.0,27.0,"November 24, 2013"
1847,AbraxasRiseth,Sr. Member,322,1.695,54.0,16.0,"October 18, 2013"
1864,Hijinx,Full Member,241,1.639,45.0,7.0,"November 30, 2013"
1865,smokealote,Sr. Member,361,3.406,25.0,14.0,"January 09, 2014"
1870,apollonian,Vendor,100,0.685,6.0,2.0,"November 30, 2013"
1872,Dr White,Full Member,113,0.942,2.0,6.0,"December 28, 2013"
1873,Sensaiy36,Full Member,241,1.223,29.0,20.0,"October 10, 2013"
1875,Mone4them,Sr. Member,251,1.916,32.0,6.0,"December 03, 2013"
1876,HighGirl,Vendor,132,0.943,11.0,2.0,"December 06, 2013"
1879,opi,Vendor,4,0.026,0.0,0.0,"November 26, 2013"
1881,ABC123,Full Member,100,0.629,10.0,9.0,"November 18, 2013"
