id,username,position,posts,ppd,up,down,registered
25,Super168,Vendor,58,0.221,0.0,1.0,"December 07, 2013"
27,Save0nDrugs,Vendor,69,0.262,13.0,2.0,"December 08, 2013"
61,SpringHorse,Full Member,119,0.458,14.0,30.0,"December 09, 2013"
72,richie,Full Member,146,0.562,7.0,10.0,"December 10, 2013"
138,MeanieMart,Vendor,16,0.05,16.0,8.0,"October 11, 2013"
160,onion_1234,Full Member,119,0.465,33.0,12.0,"December 14, 2013"
178,SuperTrips,Vendor,52,0.204,0.0,5.0,"December 15, 2013"
188,lexq,Vendor,9,0.035,5.0,1.0,"December 16, 2013"
207,bartenderscott,Full Member,102,0.402,1.0,1.0,"December 17, 2013"
251,lovestochill,Full Member,150,0.6,21.0,2.0,"December 20, 2013"
321,C_2_C,Hero Member,671,2.717,46.0,15.0,"December 23, 2013"
416,THEPUNISHER,Full Member,104,0.43,13.0,3.0,"December 28, 2013"
425,ChillBill,Full Member,124,0.512,9.0,2.0,"December 28, 2013"
489,mdma88,Full Member,122,0.508,8.0,11.0,"December 30, 2013"
529,TLT13,Full Member,132,0.416,42.0,7.0,"October 14, 2013"
541,ikeburna,Full Member,149,0.626,8.0,23.0,"January 01, 2014"
566,BushDoofRave,Full Member,102,0.427,3.0,0.0,"January 02, 2014"
634,ThatStonerGuy21,Hero Member,560,2.403,32.0,35.0,"January 05, 2014"
639,MuadDib,Vendor,83,0.356,7.0,2.0,"January 06, 2014"
668,Dutch Pride,Vendor,12,0.038,1.0,0.0,"October 19, 2013"
706,CLKR,Full Member,136,0.447,8.0,3.0,"October 27, 2013"
740,Jmc007,Full Member,110,0.381,13.0,4.0,"November 11, 2013"
743,MeisterProper,Vendor,20,0.069,8.0,4.0,"November 12, 2013"
748,Triumvirate,Vendor,103,0.359,4.0,1.0,"November 13, 2013"
761,TheHerbalist,Vendor,9,0.032,2.0,4.0,"November 17, 2013"
815,Weedmaster101,Vendor,6,0.021,1.0,1.0,"November 20, 2013"
905,JackBlue,Vendor,3,0.009,3.0,0.0,"October 09, 2013"
938,Dr. Paradise,Vendor,69,0.254,20.0,2.0,"November 28, 2013"
977,Righteous,Full Member,117,0.433,3.0,0.0,"December 01, 2013"
993,Pharmington Rex,Vendor,163,0.508,10.0,37.0,"October 10, 2013"
1017,Bazookas,Full Member,121,0.451,15.0,5.0,"December 02, 2013"
1068,juicybooty,Sr. Member,279,1.045,32.0,23.0,"December 03, 2013"
1129,Caslava,Vendor,8,0.025,2.0,0.0,"October 08, 2013"
1168,Nidge,Vendor,281,0.93,193.0,18.0,"October 29, 2013"
1189,DoctaShwartz,Sr. Member,442,1.579,75.0,16.0,"November 20, 2013"
1193,RepAAA,Vendor,9,0.031,1.0,0.0,"November 09, 2013"
1212,thebank2,Full Member,107,0.416,16.0,7.0,"December 13, 2013"
1214,triker,Full Member,138,1.087,7.0,6.0,"April 22, 2014"
1245,MrPotatoHead,Full Member,101,0.391,2.0,0.0,"December 12, 2013"
1246,p0l0,Full Member,130,0.485,17.0,6.0,"December 02, 2013"
1266,dankestkush,Vendor,75,0.295,3.0,19.0,"December 16, 2013"
1283,MrMcfeely,Vendor,54,0.196,0.0,1.0,"November 24, 2013"
1330,ViceVersa,Full Member,126,0.49,34.0,14.0,"December 13, 2013"
1339,thereallindalovelace,Vendor,81,0.292,0.0,3.0,"November 23, 2013"
1341,aKid,Vendor,74,0.289,18.0,6.0,"December 14, 2013"
1437,ReD EyE,Vendor,110,0.389,31.0,6.0,"November 17, 2013"
1482,MyConnect,Vendor,87,0.364,11.0,7.0,"December 31, 2013"
1512,zulk™,Full Member,118,0.445,13.0,2.0,"December 04, 2013"
1518,uk_cheese,Full Member,109,0.452,6.0,5.0,"December 29, 2013"
1526,The Guy Fawkes,Full Member,119,0.42,23.0,4.0,"November 17, 2013"
1568,identity,Vendor,58,0.239,1.0,1.0,"December 28, 2013"
1591,justatempacc,Full Member,101,0.398,3.0,1.0,"December 16, 2013"
1595,TearItDown,Full Member,117,0.418,14.0,1.0,"November 20, 2013"
1665,MoneySell,Vendor,58,0.25,0.0,0.0,"January 08, 2014"
1682,immortalQ,Sr. Member,272,1.157,22.0,26.0,"January 04, 2014"
1683,White Heat,Full Member,163,0.506,29.0,13.0,"October 09, 2013"
1689,iNeed Sleep,Full Member,136,0.607,7.0,5.0,"January 15, 2014"
1698,DoctorZoidberg,Vendor,102,0.379,6.0,2.0,"December 01, 2013"
1706,It Burns,Full Member,124,0.515,9.0,6.0,"December 30, 2013"
1708,gomojo,Full Member,106,0.469,4.0,2.0,"January 13, 2014"
1711,livin4dietcoke,Full Member,103,0.433,7.0,10.0,"January 01, 2014"
1723,Whitedreams,Full Member,107,0.453,6.0,32.0,"January 03, 2014"
1732,fragg3r,Full Member,177,0.794,7.0,0.0,"January 16, 2014"
1754,FelixUK,Vendor,109,0.385,11.0,5.0,"November 17, 2013"
1755,namedeclined,Vendor,9,0.029,6.0,1.0,"October 20, 2013"
1763,Shine Cartel,Vendor,609,2.731,91.0,118.0,"January 16, 2014"
1774,DeepDotWeb,Journalist,80,0.283,17.0,5.0,"November 17, 2013"
1788,a1b2c3,Full Member,180,0.636,28.0,16.0,"November 17, 2013"
1793,oxiD,Vendor,6,0.02,1.0,0.0,"October 27, 2013"
1808,astrac,Sr. Member,347,1.23,60.0,4.0,"November 18, 2013"
1810,DrWalterB,Full Member,234,0.745,47.0,1.0,"October 17, 2013"
1816,cactuschomper,Sr. Member,301,1.031,44.0,17.0,"November 08, 2013"
1817,BeepBeep,Vendor,8,0.025,1.0,0.0,"October 09, 2013"
1822,magickpaul,Full Member,219,0.826,19.0,13.0,"December 05, 2013"
1825,cascas,Sr. Member,471,1.51,72.0,54.0,"October 19, 2013"
1827,Alb3r7,Full Member,118,0.496,5.0,5.0,"January 01, 2014"
1829,TheBadger,Full Member,188,0.642,20.0,9.0,"November 08, 2013"
1836,Green-Machine,Vendor,124,0.473,137.0,74.0,"December 08, 2013"
1837,murderface2012,Hero Member,1739,6.145,451.0,165.0,"November 17, 2013"
1838,MC Haberdasher,Full Member,146,0.455,31.0,4.0,"October 10, 2013"
1839,Pimpim123,Full Member,125,0.496,12.0,2.0,"December 18, 2013"
1840,depuis90,Full Member,131,0.514,5.0,15.0,"December 15, 2013"
1841,Mseller,Vendor,23,0.071,3.0,1.0,"October 09, 2013"
1842,B4B,Full Member,243,0.88,74.0,27.0,"November 24, 2013"
1847,AbraxasRiseth,Sr. Member,387,1.236,60.0,19.0,"October 18, 2013"
1860,SGS4,Full Member,103,0.417,7.0,0.0,"December 23, 2013"
1864,Hijinx,Sr. Member,258,0.956,51.0,8.0,"November 30, 2013"
1865,smokealote,Sr. Member,403,1.752,30.0,16.0,"January 09, 2014"
1870,apollonian,Vendor,124,0.459,7.0,10.0,"November 30, 2013"
1872,Dr White,Full Member,113,0.467,2.0,6.0,"December 28, 2013"
1873,Sensaiy36,Full Member,248,0.773,31.0,22.0,"October 10, 2013"
1875,Mone4them,Full Member,248,0.929,33.0,6.0,"December 03, 2013"
1876,HighGirl,Vendor,148,0.561,11.0,3.0,"December 06, 2013"
1881,ABC123,Full Member,113,0.401,12.0,11.0,"November 18, 2013"
