id,username,position,posts,ppd,up,down,registered
138,MeanieMart,Vendor,0.0,0.0,0.0,0.0,"October 11, 2013"
188,lexq,Vendor,4.0,0.182,4.0,0.0,"December 16, 2013"
207,bartenderscott,Full Member,102.0,4.857,1.0,1.0,"December 17, 2013"
566,BushDoofRave,Full Member,103.0,25.75,3.0,0.0,"January 02, 2014"
663,oracle,Full Member,109.0,1.211,43.0,16.0,"October 09, 2013"
668,Dutch Pride,Vendor,9.0,0.117,1.0,0.0,"October 19, 2013"
728,SnowStorm,Vendor,6.0,0.1,1.0,1.0,"November 08, 2013"
730,sweetpuff,Vendor,4.0,0.067,0.0,0.0,"November 08, 2013"
740,Jmc007,Full Member,106.0,1.86,11.0,4.0,"November 11, 2013"
742,Tigerrush,Vendor,1.0,0.012,0.0,0.0,"October 09, 2013"
743,MeisterProper,Vendor,12.0,0.214,2.0,2.0,"November 12, 2013"
761,TheHerbalist,Vendor,2.0,0.047,0.0,0.0,"November 17, 2013"
787,Dr. Gonzo,Full Member,100.0,2.174,17.0,22.0,"November 18, 2013"
815,Weedmaster101,Vendor,1.0,0.021,0.0,1.0,"November 20, 2013"
888,MarleysMainMan,Vendor,3.0,0.075,1.0,0.0,"November 25, 2013"
905,JackBlue,Vendor,1.0,0.011,0.0,0.0,"October 09, 2013"
961,AusGuy,Vendor,5.0,0.147,0.0,0.0,"November 30, 2013"
986,Halfbaked,Vendor,14.0,0.389,0.0,5.0,"December 01, 2013"
993,Pharmington Rex,Vendor,8.0,0.09,1.0,2.0,"October 10, 2013"
1129,Caslava,Vendor,2.0,0.022,0.0,0.0,"October 08, 2013"
1193,RepAAA,Vendor,2.0,0.032,0.0,0.0,"November 09, 2013"
1210,FreeMarketPrice,Vendor,5.0,0.062,0.0,1.0,"October 21, 2013"
1245,MrPotatoHead,Full Member,101.0,3.607,2.0,0.0,"December 12, 2013"
1350,the real caliconnect,Vendor,19.0,0.5,2.0,3.0,"December 02, 2013"
1356,Burning Paradise,Vendor,4.0,0.063,0.0,0.0,"November 06, 2013"
1526,The Guy Fawkes,Full Member,107.0,1.698,10.0,2.0,"November 17, 2013"
1665,MoneySell,Vendor,57.0,7.125,0.0,0.0,"January 08, 2014"
1706,It Burns,Full Member,124.0,7.294,8.0,6.0,"December 30, 2013"
1755,namedeclined,Vendor,4.0,0.044,2.0,1.0,"October 20, 2013"
1774,DeepDotWeb,Journalist,65.0,1.083,13.0,4.0,"November 17, 2013"
1793,oxiD,Vendor,4.0,0.049,0.0,0.0,"October 27, 2013"
1810,DrWalterB,Full Member,216.0,2.139,40.0,1.0,"October 17, 2013"
