id,username,position,posts,ppd,up,down,registered
25,Super168,Vendor,58,0.25,0.0,1.0,"December 07, 2013"
27,Save0nDrugs,Vendor,69,0.297,13.0,2.0,"December 08, 2013"
61,SpringHorse,Full Member,119,0.52,14.0,30.0,"December 09, 2013"
138,MeanieMart,Vendor,16,0.055,16.0,8.0,"October 11, 2013"
160,onion_1234,Full Member,107,0.478,29.0,9.0,"December 14, 2013"
178,SuperTrips,Vendor,52,0.232,0.0,5.0,"December 15, 2013"
188,lexq,Vendor,9,0.04,5.0,1.0,"December 16, 2013"
207,bartenderscott,Full Member,102,0.457,1.0,1.0,"December 17, 2013"
251,lovestochill,Full Member,110,0.502,2.0,0.0,"December 20, 2013"
321,C_2_C,Hero Member,624,2.902,43.0,10.0,"December 23, 2013"
416,THEPUNISHER,Full Member,103,0.49,13.0,3.0,"December 28, 2013"
425,ChillBill,Full Member,122,0.578,8.0,2.0,"December 28, 2013"
489,mdma88,Full Member,122,0.584,8.0,11.0,"December 30, 2013"
541,ikeburna,Full Member,149,0.72,8.0,22.0,"January 01, 2014"
566,BushDoofRave,Full Member,102,0.515,3.0,0.0,"January 02, 2014"
634,ThatStonerGuy21,Sr. Member,496,2.455,30.0,29.0,"January 05, 2014"
639,MuadDib,Vendor,79,0.391,7.0,2.0,"January 06, 2014"
668,Dutch Pride,Vendor,12,0.043,1.0,0.0,"October 19, 2013"
706,CLKR,Full Member,136,0.498,8.0,3.0,"October 27, 2013"
728,SnowStorm,Vendor,6,0.023,1.0,1.0,"November 08, 2013"
740,Jmc007,Full Member,112,0.434,13.0,4.0,"November 11, 2013"
743,MeisterProper,Vendor,20,0.078,8.0,4.0,"November 12, 2013"
748,Triumvirate,Vendor,103,0.402,4.0,1.0,"November 13, 2013"
761,TheHerbalist,Vendor,9,0.035,2.0,4.0,"November 17, 2013"
815,Weedmaster101,Vendor,5,0.02,0.0,1.0,"November 20, 2013"
888,MarleysMainMan,Vendor,8,0.033,2.0,0.0,"November 25, 2013"
905,JackBlue,Vendor,3,0.01,3.0,0.0,"October 09, 2013"
938,Dr. Paradise,Vendor,69,0.286,20.0,2.0,"November 28, 2013"
961,AusGuy,Vendor,5,0.021,0.0,0.0,"November 30, 2013"
977,Righteous,Full Member,117,0.488,3.0,0.0,"December 01, 2013"
986,Halfbaked,Vendor,12,0.05,0.0,6.0,"December 01, 2013"
993,Pharmington Rex,Vendor,66,0.228,5.0,9.0,"October 10, 2013"
1017,Bazookas,Full Member,118,0.498,15.0,5.0,"December 02, 2013"
1068,juicybooty,Sr. Member,271,1.153,29.0,18.0,"December 03, 2013"
1129,Caslava,Vendor,7,0.024,2.0,0.0,"October 08, 2013"
1168,Nidge,Vendor,276,1.018,191.0,16.0,"October 29, 2013"
1189,DoctaShwartz,Sr. Member,307,1.238,42.0,6.0,"November 20, 2013"
1193,RepAAA,Vendor,9,0.034,1.0,0.0,"November 09, 2013"
1210,FreeMarketPrice,Vendor,5,0.018,0.0,3.0,"October 21, 2013"
1212,thebank2,Full Member,106,0.469,14.0,7.0,"December 13, 2013"
1214,triker,Full Member,135,1.421,7.0,3.0,"April 22, 2014"
1245,MrPotatoHead,Full Member,101,0.443,2.0,0.0,"December 12, 2013"
1246,p0l0,Full Member,130,0.551,17.0,6.0,"December 02, 2013"
1266,dankestkush,Vendor,75,0.336,3.0,19.0,"December 16, 2013"
1283,MrMcfeely,Vendor,54,0.22,0.0,1.0,"November 24, 2013"
1330,ViceVersa,Full Member,115,0.511,27.0,12.0,"December 13, 2013"
1339,thereallindalovelace,Vendor,77,0.313,0.0,2.0,"November 23, 2013"
