id,username,position,posts,ppd,up,down,registered
25,Super168,Vendor,58,0.352,0.0,1.0,"December 07, 2013"
27,Save0nDrugs,Vendor,64,0.388,13.0,2.0,"December 08, 2013"
61,SpringHorse,Full Member,119,0.73,14.0,30.0,"December 09, 2013"
138,MeanieMart,Vendor,24,0.108,4.0,1.0,"October 11, 2013"
178,SuperTrips,Vendor,52,0.331,0.0,5.0,"December 15, 2013"
188,lexq,Vendor,9,0.057,5.0,0.0,"December 16, 2013"
207,bartenderscott,Full Member,102,0.65,1.0,1.0,"December 17, 2013"
251,lovestochill,Full Member,103,0.648,2.0,0.0,"December 20, 2013"
321,C_2_C,Hero Member,505,3.237,33.0,9.0,"December 23, 2013"
425,ChillBill,Full Member,120,0.833,8.0,2.0,"December 28, 2013"
489,mdma88,Full Member,115,0.772,6.0,11.0,"December 30, 2013"
541,ikeburna,Full Member,149,1.064,8.0,20.0,"January 01, 2014"
566,BushDoofRave,Full Member,102,0.761,3.0,0.0,"January 02, 2014"
634,ThatStonerGuy21,Full Member,105,0.739,7.0,6.0,"January 05, 2014"
639,MuadDib,Vendor,73,0.537,7.0,2.0,"January 06, 2014"
668,Dutch Pride,Vendor,11,0.051,1.0,0.0,"October 19, 2013"
706,CLKR,Full Member,138,0.667,8.0,3.0,"October 27, 2013"
728,SnowStorm,Vendor,6,0.031,1.0,1.0,"November 08, 2013"
730,sweetpuff,Vendor,10,0.051,0.0,0.0,"November 08, 2013"
740,Jmc007,Full Member,106,0.535,11.0,4.0,"November 11, 2013"
743,MeisterProper,Vendor,17,0.089,8.0,4.0,"November 12, 2013"
748,Triumvirate,Vendor,103,0.545,2.0,1.0,"November 13, 2013"
761,TheHerbalist,Vendor,9,0.048,2.0,4.0,"November 17, 2013"
815,Weedmaster101,Vendor,4,0.024,0.0,1.0,"November 20, 2013"
888,MarleysMainMan,Vendor,8,0.045,2.0,0.0,"November 25, 2013"
905,JackBlue,Vendor,3,0.013,2.0,0.0,"October 09, 2013"
938,Dr. Paradise,Vendor,69,0.397,20.0,2.0,"November 28, 2013"
961,AusGuy,Vendor,5,0.029,0.0,0.0,"November 30, 2013"
977,Righteous,Full Member,117,0.701,3.0,0.0,"December 01, 2013"
986,Halfbaked,Vendor,12,0.069,0.0,6.0,"December 01, 2013"
