id,username,position,posts,ppd,up,down,registered
25,Super168,Vendor,58,0.179,0.0,1.0,"December 07, 2013"
27,Save0nDrugs,Vendor,71,0.22,13.0,2.0,"December 08, 2013"
61,SpringHorse,Full Member,119,0.371,14.0,30.0,"December 09, 2013"
72,richie,Full Member,195,0.607,19.0,13.0,"December 10, 2013"
138,MeanieMart,Vendor,16,0.042,16.0,8.0,"October 11, 2013"
160,onion_1234,Full Member,138,0.437,40.0,17.0,"December 14, 2013"
178,SuperTrips,Vendor,52,0.165,0.0,5.0,"December 15, 2013"
187,kssr,Full Member,100,0.262,4.0,3.0,"October 11, 2013"
188,lexq,Vendor,9,0.028,5.0,1.0,"December 16, 2013"
207,bartenderscott,Full Member,102,0.324,1.0,1.0,"December 17, 2013"
251,lovestochill,Full Member,150,0.482,23.0,2.0,"December 20, 2013"
321,C_2_C,Hero Member,738,2.404,52.0,17.0,"December 23, 2013"
364,DewDads,Full Member,114,0.375,10.0,2.0,"December 26, 2013"
416,THEPUNISHER,Full Member,104,0.343,13.0,3.0,"December 28, 2013"
425,ChillBill,Full Member,124,0.409,9.0,2.0,"December 28, 2013"
489,mdma88,Full Member,122,0.405,8.0,11.0,"December 30, 2013"
514,fivevo,Full Member,138,0.365,3.0,1.0,"October 14, 2013"
529,TLT13,Full Member,164,0.435,66.0,13.0,"October 14, 2013"
541,ikeburna,Full Member,149,0.498,8.0,23.0,"January 01, 2014"
566,BushDoofRave,Full Member,102,0.339,3.0,0.0,"January 02, 2014"
634,ThatStonerGuy21,Hero Member,738,2.51,55.0,51.0,"January 05, 2014"
639,MuadDib,Vendor,90,0.306,7.0,2.0,"January 06, 2014"
668,Dutch Pride,Vendor,12,0.032,1.0,0.0,"October 19, 2013"
706,CLKR,Full Member,106,0.29,8.0,3.0,"October 27, 2013"
740,Jmc007,Full Member,110,0.313,13.0,4.0,"November 11, 2013"
743,MeisterProper,Vendor,20,0.057,8.0,4.0,"November 12, 2013"
748,Triumvirate,Vendor,103,0.296,4.0,1.0,"November 13, 2013"
761,TheHerbalist,Vendor,9,0.026,2.0,4.0,"November 17, 2013"
815,Weedmaster101,Vendor,7,0.02,2.0,1.0,"November 20, 2013"
905,JackBlue,Vendor,3,0.008,3.0,0.0,"October 09, 2013"
938,Dr. Paradise,Vendor,69,0.207,20.0,2.0,"November 28, 2013"
977,Righteous,Full Member,117,0.352,3.0,0.0,"December 01, 2013"
993,Pharmington Rex,Vendor,295,0.772,19.0,91.0,"October 10, 2013"
1017,Bazookas,Full Member,121,0.368,15.0,5.0,"December 02, 2013"
1068,juicybooty,Sr. Member,285,0.872,32.0,29.0,"December 03, 2013"
1129,Caslava,Vendor,8,0.021,2.0,0.0,"October 08, 2013"
1168,Nidge,Vendor,281,0.774,194.0,19.0,"October 29, 2013"
1189,DoctaShwartz,Hero Member,612,1.795,128.0,27.0,"November 20, 2013"
1193,RepAAA,Vendor,13,0.037,1.0,0.0,"November 09, 2013"
1212,thebank2,Full Member,115,0.362,17.0,10.0,"December 13, 2013"
1214,triker,Full Member,137,0.725,7.0,6.0,"April 22, 2014"
1245,MrPotatoHead,Full Member,103,0.323,2.0,0.0,"December 12, 2013"
1246,p0l0,Full Member,130,0.395,17.0,6.0,"December 02, 2013"
1266,dankestkush,Vendor,75,0.238,3.0,19.0,"December 16, 2013"
1283,MrMcfeely,Vendor,54,0.16,0.0,1.0,"November 24, 2013"
1330,ViceVersa,Full Member,123,0.388,35.0,15.0,"December 13, 2013"
1339,thereallindalovelace,Vendor,88,0.26,2.0,4.0,"November 23, 2013"
1341,aKid,Vendor,74,0.233,18.0,6.0,"December 14, 2013"
1437,ReD EyE,Vendor,112,0.327,32.0,6.0,"November 17, 2013"
1482,MyConnect,Vendor,88,0.293,11.0,7.0,"December 31, 2013"
1512,zulk™,Full Member,139,0.426,15.0,2.0,"December 04, 2013"
1518,uk_cheese,Full Member,109,0.361,6.0,5.0,"December 29, 2013"
1526,The Guy Fawkes,Full Member,147,0.424,42.0,4.0,"November 17, 2013"
1568,identity,Vendor,58,0.191,1.0,1.0,"December 28, 2013"
1591,justatempacc,Full Member,104,0.33,3.0,1.0,"December 16, 2013"
1595,TearItDown,Full Member,119,0.349,14.0,1.0,"November 20, 2013"
1640,odb92,Full Member,145,0.475,54.0,7.0,"December 25, 2013"
1665,MoneySell,Vendor,58,0.198,0.0,0.0,"January 08, 2014"
1677,Quality Hydro Buds,Vendor,89,0.261,10.0,12.0,"November 20, 2013"
1682,immortalQ,Sr. Member,287,0.97,24.0,30.0,"January 04, 2014"
1683,White Heat,Full Member,174,0.454,34.0,14.0,"October 09, 2013"
1689,iNeed Sleep,Full Member,136,0.477,7.0,5.0,"January 15, 2014"
1698,DoctorZoidberg,Vendor,143,0.433,17.0,3.0,"December 01, 2013"
1706,It Burns,Full Member,124,0.411,9.0,6.0,"December 30, 2013"
1708,gomojo,Full Member,110,0.383,4.0,2.0,"January 13, 2014"
1711,livin4dietcoke,Full Member,107,0.358,11.0,12.0,"January 01, 2014"
1723,Whitedreams,Full Member,107,0.359,6.0,32.0,"January 03, 2014"
1731,logistical_mastermind,Full Member,104,0.324,9.0,17.0,"December 09, 2013"
1732,fragg3r,Full Member,178,0.627,7.0,0.0,"January 16, 2014"
1754,FelixUK,Vendor,112,0.327,12.0,5.0,"November 17, 2013"
1755,namedeclined,Vendor,9,0.024,6.0,1.0,"October 20, 2013"
1763,Shine Cartel,Vendor,609,2.144,91.0,119.0,"January 16, 2014"
1774,DeepDotWeb,Journalist,67,0.195,17.0,5.0,"November 17, 2013"
1788,a1b2c3,Full Member,133,0.388,28.0,16.0,"November 17, 2013"
1793,oxiD,Vendor,9,0.025,1.0,0.0,"October 27, 2013"
1798,Steckdose,Full Member,114,0.386,9.0,5.0,"January 05, 2014"
1808,astrac,Sr. Member,373,1.087,63.0,4.0,"November 18, 2013"
1810,DrWalterB,Full Member,234,0.624,47.0,1.0,"October 17, 2013"
1816,cactuschomper,Sr. Member,303,0.858,47.0,17.0,"November 08, 2013"
1817,BeepBeep,Vendor,8,0.021,1.0,0.0,"October 09, 2013"
1822,magickpaul,Sr. Member,264,0.812,31.0,26.0,"December 05, 2013"
1825,cascas,Sr. Member,466,1.249,72.0,54.0,"October 19, 2013"
1827,Alb3r7,Full Member,118,0.395,5.0,5.0,"January 01, 2014"
1829,TheBadger,Full Member,188,0.533,20.0,9.0,"November 08, 2013"
1836,Green-Machine,Vendor,161,0.498,152.0,82.0,"December 08, 2013"
1837,murderface2012,Hero Member,1604,4.676,614.0,228.0,"November 17, 2013"
1838,MC Haberdasher,Full Member,135,0.353,31.0,5.0,"October 10, 2013"
1839,Pimpim123,Full Member,127,0.406,12.0,2.0,"December 18, 2013"
1840,depuis90,Full Member,121,0.383,5.0,15.0,"December 15, 2013"
1841,Mseller,Vendor,23,0.06,3.0,1.0,"October 09, 2013"
1842,B4B,Full Member,243,0.721,74.0,27.0,"November 24, 2013"
1847,AbraxasRiseth,Sr. Member,425,1.136,66.0,20.0,"October 18, 2013"
1860,SGS4,Full Member,103,0.334,7.0,0.0,"December 23, 2013"
1864,Hijinx,Sr. Member,263,0.795,55.0,8.0,"November 30, 2013"
1865,smokealote,Sr. Member,402,1.381,30.0,16.0,"January 09, 2014"
1870,apollonian,Vendor,146,0.441,9.0,16.0,"November 30, 2013"
1872,Dr White,Full Member,113,0.373,2.0,6.0,"December 28, 2013"
1873,Sensaiy36,Full Member,248,0.649,31.0,22.0,"October 10, 2013"
1875,Mone4them,Full Member,248,0.758,33.0,6.0,"December 03, 2013"
1876,HighGirl,Vendor,169,0.52,16.0,5.0,"December 06, 2013"
1881,ABC123,Full Member,145,0.423,18.0,16.0,"November 18, 2013"
1882,Ketatmine,Full Member,164,0.427,13.0,2.0,"October 08, 2013"
1887,A.gotov,Full Member,163,0.521,6.0,0.0,"December 19, 2013"
1888,staind,Full Member,224,0.586,82.0,9.0,"October 09, 2013"
1889,moonlight,Full Member,167,0.456,81.0,109.0,"October 27, 2013"
1890,Oculus,Full Member,125,0.403,6.0,4.0,"December 20, 2013"
1891,Crazy-Eights,Vendor,79,0.212,33.0,16.0,"October 20, 2013"
1894,SimonBerumondo,Full Member,162,0.45,32.0,23.0,"October 31, 2013"
1896,srysirnoingles,Hero Member,832,2.625,194.0,80.0,"December 14, 2013"
1899,RequestToSend,Vendor,12,0.031,0.0,0.0,"October 09, 2013"
1900,DoctorX,Sr. Member,285,0.748,214.0,3.0,"October 11, 2013"
1901,EXIT,Full Member,138,0.38,57.0,6.0,"October 29, 2013"
1902,DrWhite,Vendor,79,0.214,7.0,9.0,"October 22, 2013"
1906,psyf3r,Full Member,117,0.355,6.0,2.0,"November 30, 2013"
1908,DefyCode,Full Member,162,0.423,29.0,33.0,"October 09, 2013"
1909,Burning Babylon,Vendor,197,0.51,17.0,14.0,"October 08, 2013"
1910,charliethefrog,Full Member,146,0.482,11.0,14.0,"December 28, 2013"
1915,Brucewaynescat11,Full Member,143,0.432,21.0,3.0,"December 01, 2013"
1918,piecesofaman,Full Member,200,0.673,45.0,38.0,"January 03, 2014"
1922,TheWeeMan,Full Member,182,0.553,29.0,9.0,"December 01, 2013"
1924,Navar,Full Member,113,0.332,12.0,5.0,"November 21, 2013"
1929,geoffreygiraffe,Vendor,74,0.194,2.0,1.0,"October 10, 2013"
1931,Silky Smooth,Vendor,165,0.487,39.0,27.0,"November 22, 2013"
1932,jerrygarcia,Full Member,188,0.496,31.0,2.0,"October 12, 2013"
1938,stackinRINGS,Full Member,105,0.362,9.0,2.0,"January 09, 2014"
1939,tes,Sr. Member,251,0.77,3.0,7.0,"December 07, 2013"
1940,nevita,Vendor,239,0.716,34.0,20.0,"November 28, 2013"
1942,lab5ive,Full Member,148,0.387,14.0,2.0,"October 10, 2013"
1943,Eskimoplea7,Full Member,232,0.606,52.0,15.0,"October 09, 2013"
1952,alexander super-tramp,Full Member,191,0.52,18.0,2.0,"October 25, 2013"
1956,whatsthefu55,Full Member,135,0.44,2.0,2.0,"December 25, 2013"
1963,FamilyMan,Full Member,178,0.595,13.0,7.0,"January 01, 2014"
1964,tm421995,Full Member,144,0.449,5.0,0.0,"December 10, 2013"
1967,EL PACINO,Full Member,150,0.436,7.0,9.0,"November 17, 2013"
