id,username,position,posts,ppd,up,down,registered
27,User1641,Vendor,62,0.446,13.0,2.0,"December 08, 2013"
61,User4062,Full Member,120,0.876,14.0,30.0,"December 09, 2013"
138,User4592,Vendor,15,0.076,2.0,0.0,"October 11, 2013"
178,User3171,Vendor,52,0.397,0.0,5.0,"December 15, 2013"
188,User5628,Vendor,9,0.069,5.0,0.0,"December 16, 2013"
207,User4519,Full Member,102,0.779,1.0,1.0,"December 17, 2013"
251,User2408,Full Member,102,0.895,2.0,0.0,"December 20, 2013"
321,User5555,Sr. Member,457,3.715,28.0,8.0,"December 23, 2013"
425,User4597,Full Member,120,1.017,8.0,2.0,"December 28, 2013"
489,User300,Full Member,114,0.974,6.0,11.0,"December 30, 2013"
541,User2122,Full Member,148,1.298,8.0,19.0,"January 01, 2014"
566,User4745,Full Member,102,1.074,3.0,0.0,"January 02, 2014"
639,User107,Vendor,69,0.639,7.0,2.0,"January 06, 2014"
668,User1158,Vendor,11,0.058,1.0,0.0,"October 19, 2013"
706,User1663,Full Member,138,0.762,8.0,3.0,"October 27, 2013"
728,User1685,Vendor,6,0.035,1.0,1.0,"November 08, 2013"
730,User3662,Vendor,5,0.03,0.0,0.0,"November 08, 2013"
740,User475,Full Member,106,0.635,11.0,4.0,"November 11, 2013"
743,User692,Vendor,17,0.103,8.0,4.0,"November 12, 2013"
748,User4340,Vendor,97,0.599,0.0,1.0,"November 13, 2013"
761,User517,Vendor,6,0.037,2.0,2.0,"November 17, 2013"
815,User3211,Vendor,4,0.026,0.0,1.0,"November 20, 2013"
888,User245,Vendor,8,0.052,2.0,0.0,"November 25, 2013"
905,User973,Vendor,3,0.015,2.0,0.0,"October 09, 2013"
938,User1679,Vendor,69,0.466,20.0,2.0,"November 28, 2013"
961,User691,Vendor,5,0.034,0.0,0.0,"November 30, 2013"
977,User2693,Full Member,117,0.929,3.0,0.0,"December 01, 2013"
986,User2633,Vendor,12,0.083,0.0,6.0,"December 01, 2013"
993,User1407,Vendor,26,0.131,5.0,2.0,"October 10, 2013"
1068,User5908,Full Member,245,1.713,23.0,11.0,"December 03, 2013"
1129,User4673,Vendor,4,0.02,2.0,0.0,"October 08, 2013"
1168,User1932,Vendor,166,0.933,81.0,10.0,"October 29, 2013"
1193,User511,Vendor,9,0.054,1.0,0.0,"November 09, 2013"
1210,User1045,Vendor,5,0.027,0.0,3.0,"October 21, 2013"
1245,User3510,Full Member,101,0.743,2.0,0.0,"December 12, 2013"
1246,User950,Full Member,161,1.118,17.0,5.0,"December 02, 2013"
1266,User3341,Vendor,75,0.577,3.0,18.0,"December 16, 2013"
1283,User2187,Vendor,54,0.355,0.0,1.0,"November 24, 2013"
1341,User3021,Vendor,73,0.553,17.0,4.0,"December 14, 2013"
1350,User425,Vendor,19,0.13,2.0,4.0,"December 02, 2013"
