id,username,position,posts,ppd,up,down,registered
25,User4932,Vendor,58,0.221,0.0,1.0,"December 07, 2013"
27,User1641,Vendor,69,0.262,13.0,2.0,"December 08, 2013"
61,User4062,Full Member,119,0.458,14.0,30.0,"December 09, 2013"
72,User1074,Full Member,146,0.562,7.0,10.0,"December 10, 2013"
138,User4592,Vendor,16,0.05,16.0,8.0,"October 11, 2013"
160,User914,Full Member,119,0.465,33.0,12.0,"December 14, 2013"
178,User3171,Vendor,52,0.204,0.0,5.0,"December 15, 2013"
188,User5628,Vendor,9,0.035,5.0,1.0,"December 16, 2013"
207,User4519,Full Member,102,0.402,1.0,1.0,"December 17, 2013"
251,User2408,Full Member,150,0.6,21.0,2.0,"December 20, 2013"
321,User5555,Hero Member,671,2.717,46.0,15.0,"December 23, 2013"
416,User4140,Full Member,104,0.43,13.0,3.0,"December 28, 2013"
425,User4597,Full Member,124,0.512,9.0,2.0,"December 28, 2013"
489,User300,Full Member,122,0.508,8.0,11.0,"December 30, 2013"
529,User864,Full Member,132,0.416,42.0,7.0,"October 14, 2013"
541,User2122,Full Member,149,0.626,8.0,23.0,"January 01, 2014"
566,User4745,Full Member,102,0.427,3.0,0.0,"January 02, 2014"
634,User587,Hero Member,560,2.403,32.0,35.0,"January 05, 2014"
639,User107,Vendor,83,0.356,7.0,2.0,"January 06, 2014"
668,User1158,Vendor,12,0.038,1.0,0.0,"October 19, 2013"
706,User1663,Full Member,136,0.447,8.0,3.0,"October 27, 2013"
740,User475,Full Member,110,0.381,13.0,4.0,"November 11, 2013"
743,User692,Vendor,20,0.069,8.0,4.0,"November 12, 2013"
748,User4340,Vendor,103,0.359,4.0,1.0,"November 13, 2013"
761,User517,Vendor,9,0.032,2.0,4.0,"November 17, 2013"
815,User3211,Vendor,6,0.021,1.0,1.0,"November 20, 2013"
905,User973,Vendor,3,0.009,3.0,0.0,"October 09, 2013"
938,User1679,Vendor,69,0.254,20.0,2.0,"November 28, 2013"
977,User2693,Full Member,117,0.433,3.0,0.0,"December 01, 2013"
993,User1407,Vendor,163,0.508,10.0,37.0,"October 10, 2013"
1017,User5046,Full Member,121,0.451,15.0,5.0,"December 02, 2013"
1068,User5908,Sr. Member,279,1.045,32.0,23.0,"December 03, 2013"
1129,User4673,Vendor,8,0.025,2.0,0.0,"October 08, 2013"
1168,User1932,Vendor,281,0.93,193.0,18.0,"October 29, 2013"
1189,User5605,Sr. Member,442,1.579,75.0,16.0,"November 20, 2013"
1193,User511,Vendor,9,0.031,1.0,0.0,"November 09, 2013"
1212,User3544,Full Member,107,0.416,16.0,7.0,"December 13, 2013"
1214,User2339,Full Member,138,1.087,7.0,6.0,"April 22, 2014"
1245,User3510,Full Member,101,0.391,2.0,0.0,"December 12, 2013"
1246,User950,Full Member,130,0.485,17.0,6.0,"December 02, 2013"
1266,User3341,Vendor,75,0.295,3.0,19.0,"December 16, 2013"
1283,User2187,Vendor,54,0.196,0.0,1.0,"November 24, 2013"
1330,User1439,Full Member,126,0.49,34.0,14.0,"December 13, 2013"
1339,User4019,Vendor,81,0.292,0.0,3.0,"November 23, 2013"
1341,User3021,Vendor,74,0.289,18.0,6.0,"December 14, 2013"
1437,User2084,Vendor,110,0.389,31.0,6.0,"November 17, 2013"
1482,User5178,Vendor,87,0.364,11.0,7.0,"December 31, 2013"
1512,User1085,Full Member,118,0.445,13.0,2.0,"December 04, 2013"
1518,User5749,Full Member,109,0.452,6.0,5.0,"December 29, 2013"
1526,User3597,Full Member,119,0.42,23.0,4.0,"November 17, 2013"
1568,User1438,Vendor,58,0.239,1.0,1.0,"December 28, 2013"
1591,User2629,Full Member,101,0.398,3.0,1.0,"December 16, 2013"
1595,User4622,Full Member,117,0.418,14.0,1.0,"November 20, 2013"
1665,User1216,Vendor,58,0.25,0.0,0.0,"January 08, 2014"
1682,User3560,Sr. Member,272,1.157,22.0,26.0,"January 04, 2014"
1683,User4573,Full Member,163,0.506,29.0,13.0,"October 09, 2013"
1689,User4307,Full Member,136,0.607,7.0,5.0,"January 15, 2014"
1698,User2068,Vendor,102,0.379,6.0,2.0,"December 01, 2013"
1706,User5644,Full Member,124,0.515,9.0,6.0,"December 30, 2013"
1708,User1687,Full Member,106,0.469,4.0,2.0,"January 13, 2014"
1711,User1945,Full Member,103,0.433,7.0,10.0,"January 01, 2014"
1723,User2793,Full Member,107,0.453,6.0,32.0,"January 03, 2014"
1732,User4256,Full Member,177,0.794,7.0,0.0,"January 16, 2014"
1754,User1337,Vendor,109,0.385,11.0,5.0,"November 17, 2013"
1755,User4525,Vendor,9,0.029,6.0,1.0,"October 20, 2013"
1763,User2546,Vendor,609,2.731,91.0,118.0,"January 16, 2014"
1774,User57,Journalist,80,0.283,17.0,5.0,"November 17, 2013"
1788,User4655,Full Member,180,0.636,28.0,16.0,"November 17, 2013"
1793,User1869,Vendor,6,0.02,1.0,0.0,"October 27, 2013"
1808,User514,Sr. Member,347,1.23,60.0,4.0,"November 18, 2013"
1810,User1871,Full Member,234,0.745,47.0,1.0,"October 17, 2013"
1816,User3872,Sr. Member,301,1.031,44.0,17.0,"November 08, 2013"
1817,User1279,Vendor,8,0.025,1.0,0.0,"October 09, 2013"
1822,User4664,Full Member,219,0.826,19.0,13.0,"December 05, 2013"
1825,User2230,Sr. Member,471,1.51,72.0,54.0,"October 19, 2013"
1827,User4619,Full Member,118,0.496,5.0,5.0,"January 01, 2014"
1829,User2676,Full Member,188,0.642,20.0,9.0,"November 08, 2013"
1836,User3720,Vendor,124,0.473,137.0,74.0,"December 08, 2013"
1837,User1466,Hero Member,1739,6.145,451.0,165.0,"November 17, 2013"
1838,User2013,Full Member,146,0.455,31.0,4.0,"October 10, 2013"
1839,User2116,Full Member,125,0.496,12.0,2.0,"December 18, 2013"
1840,User1482,Full Member,131,0.514,5.0,15.0,"December 15, 2013"
1841,User5031,Vendor,23,0.071,3.0,1.0,"October 09, 2013"
1842,User2826,Full Member,243,0.88,74.0,27.0,"November 24, 2013"
1847,User2936,Sr. Member,387,1.236,60.0,19.0,"October 18, 2013"
1860,User3559,Full Member,103,0.417,7.0,0.0,"December 23, 2013"
1864,User3919,Sr. Member,258,0.956,51.0,8.0,"November 30, 2013"
1865,User4692,Sr. Member,403,1.752,30.0,16.0,"January 09, 2014"
1870,User746,Vendor,124,0.459,7.0,10.0,"November 30, 2013"
1872,User1405,Full Member,113,0.467,2.0,6.0,"December 28, 2013"
1873,User4088,Full Member,248,0.773,31.0,22.0,"October 10, 2013"
1875,User3928,Full Member,248,0.929,33.0,6.0,"December 03, 2013"
1876,User3156,Vendor,148,0.561,11.0,3.0,"December 06, 2013"
1881,User673,Full Member,113,0.401,12.0,11.0,"November 18, 2013"
1882,User4555,Full Member,164,0.508,12.0,2.0,"October 08, 2013"
1887,User1413,Full Member,163,0.649,6.0,0.0,"December 19, 2013"
1888,User3874,Full Member,224,0.698,82.0,9.0,"October 09, 2013"
1889,User2306,Full Member,167,0.549,81.0,109.0,"October 27, 2013"
1890,User3109,Full Member,125,0.5,6.0,3.0,"December 20, 2013"
1891,User1429,Vendor,63,0.202,32.0,13.0,"October 20, 2013"
1894,User4211,Full Member,166,0.553,32.0,23.0,"October 31, 2013"
1896,User1230,Hero Member,833,3.254,190.0,80.0,"December 14, 2013"
1899,User5579,Vendor,12,0.037,0.0,0.0,"October 09, 2013"
1900,User2172,Sr. Member,257,0.803,199.0,2.0,"October 11, 2013"
1901,User5227,Full Member,138,0.457,57.0,6.0,"October 29, 2013"
1902,User3055,Vendor,79,0.256,7.0,9.0,"October 22, 2013"
1906,User1881,Full Member,115,0.426,5.0,2.0,"November 30, 2013"
1908,User2876,Full Member,162,0.503,29.0,32.0,"October 09, 2013"
1909,User3464,Vendor,197,0.61,17.0,13.0,"October 08, 2013"
1910,User2223,Full Member,146,0.603,11.0,14.0,"December 28, 2013"
1915,User4763,Full Member,143,0.53,21.0,3.0,"December 01, 2013"
1918,User4231,Full Member,201,0.852,45.0,38.0,"January 03, 2014"
1922,User1170,Full Member,174,0.647,27.0,9.0,"December 01, 2013"
1924,User5250,Full Member,113,0.405,12.0,5.0,"November 21, 2013"
1929,User5063,Vendor,70,0.218,2.0,1.0,"October 10, 2013"
1931,User3385,Vendor,128,0.46,19.0,16.0,"November 22, 2013"
1932,User3827,Full Member,159,0.5,26.0,2.0,"October 12, 2013"
1938,User5371,Full Member,105,0.457,9.0,2.0,"January 09, 2014"
1939,User1712,Sr. Member,251,0.951,3.0,7.0,"December 07, 2013"
1940,User3240,Vendor,242,0.886,34.0,20.0,"November 28, 2013"
1942,User4716,Full Member,148,0.461,13.0,2.0,"October 10, 2013"
1943,User2856,Full Member,226,0.702,50.0,10.0,"October 09, 2013"
1952,User5072,Full Member,162,0.529,14.0,2.0,"October 25, 2013"
1956,User2369,Full Member,135,0.549,2.0,2.0,"December 25, 2013"
1963,User1461,Full Member,178,0.748,13.0,7.0,"January 01, 2014"
