id,username,position,posts,ppd,up,down,registered
61,SpringHorse,Full Member,113.0,1.527,13.0,16.0,"December 09, 2013"
138,MeanieMart,Vendor,3.0,0.022,1.0,0.0,"October 11, 2013"
188,lexq,Vendor,7.0,0.103,5.0,0.0,"December 16, 2013"
207,bartenderscott,Full Member,101.0,1.485,1.0,1.0,"December 17, 2013"
321,C_2_C,Full Member,134.0,2.233,14.0,0.0,"December 23, 2013"
425,ChillBill,Full Member,102.0,1.855,7.0,2.0,"December 28, 2013"
489,mdma88,Full Member,100.0,1.887,5.0,10.0,"December 30, 2013"
566,BushDoofRave,Full Member,102.0,2.082,3.0,0.0,"January 02, 2014"
663,oracle,Full Member,203.0,1.493,65.0,35.0,"October 09, 2013"
668,Dutch Pride,Vendor,10.0,0.079,1.0,0.0,"October 19, 2013"
728,SnowStorm,Vendor,6.0,0.056,1.0,1.0,"November 08, 2013"
730,sweetpuff,Vendor,4.0,0.037,0.0,0.0,"November 08, 2013"
740,Jmc007,Full Member,106.0,1.029,11.0,4.0,"November 11, 2013"
742,Tigerrush,Vendor,1.0,0.007,0.0,1.0,"October 09, 2013"
743,MeisterProper,Vendor,13.0,0.127,2.0,2.0,"November 12, 2013"
761,TheHerbalist,Vendor,6.0,0.061,2.0,2.0,"November 17, 2013"
815,Weedmaster101,Vendor,2.0,0.021,0.0,1.0,"November 20, 2013"
888,MarleysMainMan,Vendor,8.0,0.089,2.0,0.0,"November 25, 2013"
905,JackBlue,Vendor,1.0,0.007,0.0,0.0,"October 09, 2013"
961,AusGuy,Vendor,5.0,0.059,0.0,0.0,"November 30, 2013"
977,Righteous,Full Member,119.0,1.417,1.0,0.0,"December 01, 2013"
986,Halfbaked,Vendor,12.0,0.145,0.0,6.0,"December 01, 2013"
993,Pharmington Rex,Vendor,25.0,0.185,5.0,2.0,"October 10, 2013"
1129,Caslava,Vendor,2.0,0.015,0.0,0.0,"October 08, 2013"
1193,RepAAA,Vendor,8.0,0.077,1.0,0.0,"November 09, 2013"
1210,FreeMarketPrice,Vendor,5.0,0.04,0.0,3.0,"October 21, 2013"
1245,MrPotatoHead,Full Member,101.0,1.384,2.0,0.0,"December 12, 2013"
1266,dankestkush,Vendor,60.0,0.882,2.0,1.0,"December 16, 2013"
1283,MrMcfeely,Vendor,51.0,0.567,0.0,0.0,"November 24, 2013"
1341,aKid,Vendor,70.0,1.014,11.0,3.0,"December 14, 2013"
1350,the real caliconnect,Vendor,19.0,0.229,2.0,4.0,"December 02, 2013"
1356,Burning Paradise,Vendor,5.0,0.046,1.0,0.0,"November 06, 2013"
1526,The Guy Fawkes,Full Member,111.0,1.144,13.0,4.0,"November 17, 2013"
1665,MoneySell,Vendor,58.0,1.261,0.0,0.0,"January 08, 2014"
