id,username,position,posts,ppd,up,down,registered
138,User4592,Vendor,0.0,0.0,0.0,0.0,"October 11, 2013"
188,User5628,Vendor,4.0,0.182,4.0,0.0,"December 16, 2013"
207,User4519,Full Member,102.0,4.857,1.0,1.0,"December 17, 2013"
566,User4745,Full Member,103.0,25.75,3.0,0.0,"January 02, 2014"
663,User1164,Full Member,109.0,1.211,43.0,16.0,"October 09, 2013"
668,User1158,Vendor,9.0,0.117,1.0,0.0,"October 19, 2013"
728,User1685,Vendor,6.0,0.1,1.0,1.0,"November 08, 2013"
730,User3662,Vendor,4.0,0.067,0.0,0.0,"November 08, 2013"
740,User475,Full Member,106.0,1.86,11.0,4.0,"November 11, 2013"
742,User2847,Vendor,1.0,0.012,0.0,0.0,"October 09, 2013"
743,User692,Vendor,12.0,0.214,2.0,2.0,"November 12, 2013"
761,User517,Vendor,2.0,0.047,0.0,0.0,"November 17, 2013"
787,User5291,Full Member,100.0,2.174,17.0,22.0,"November 18, 2013"
815,User3211,Vendor,1.0,0.021,0.0,1.0,"November 20, 2013"
888,User245,Vendor,3.0,0.075,1.0,0.0,"November 25, 2013"
905,User973,Vendor,1.0,0.011,0.0,0.0,"October 09, 2013"
961,User691,Vendor,5.0,0.147,0.0,0.0,"November 30, 2013"
986,User2633,Vendor,14.0,0.389,0.0,5.0,"December 01, 2013"
993,User1407,Vendor,8.0,0.09,1.0,2.0,"October 10, 2013"
1129,User4673,Vendor,2.0,0.022,0.0,0.0,"October 08, 2013"
1193,User511,Vendor,2.0,0.032,0.0,0.0,"November 09, 2013"
1210,User1045,Vendor,5.0,0.062,0.0,1.0,"October 21, 2013"
1245,User3510,Full Member,101.0,3.607,2.0,0.0,"December 12, 2013"
1350,User425,Vendor,19.0,0.5,2.0,3.0,"December 02, 2013"
1356,User4987,Vendor,4.0,0.063,0.0,0.0,"November 06, 2013"
1526,User3597,Full Member,107.0,1.698,10.0,2.0,"November 17, 2013"
1665,User1216,Vendor,57.0,7.125,0.0,0.0,"January 08, 2014"
1706,User5644,Full Member,124.0,7.294,8.0,6.0,"December 30, 2013"
1755,User4525,Vendor,4.0,0.044,2.0,1.0,"October 20, 2013"
1774,User57,Journalist,65.0,1.083,13.0,4.0,"November 17, 2013"
1793,User1869,Vendor,4.0,0.049,0.0,0.0,"October 27, 2013"
1810,User1871,Full Member,216.0,2.139,40.0,1.0,"October 17, 2013"
1816,User3872,Full Member,184.0,2.3,26.0,9.0,"November 08, 2013"
1817,User1279,Vendor,8.0,0.073,1.0,0.0,"October 09, 2013"
1825,User2230,Sr. Member,439.0,4.39,57.0,35.0,"October 19, 2013"
1836,User3720,Vendor,199.0,4.061,64.0,31.0,"December 08, 2013"
1837,User1466,Sr. Member,409.0,5.843,127.0,13.0,"November 17, 2013"
1841,User5031,Vendor,20.0,0.183,3.0,1.0,"October 09, 2013"
1842,User2826,Full Member,157.0,2.492,33.0,7.0,"November 24, 2013"
1847,User2936,Full Member,217.0,2.149,29.0,9.0,"October 18, 2013"
1848,User997,Administrator,583.0,5.205,495.0,30.0,"October 07, 2013"
1864,User3919,Full Member,234.0,4.034,45.0,6.0,"November 30, 2013"
1865,User4692,Full Member,230.0,12.778,16.0,4.0,"January 09, 2014"
1872,User1405,Full Member,113.0,3.897,2.0,6.0,"December 28, 2013"
1873,User4088,Full Member,202.0,1.853,24.0,19.0,"October 10, 2013"
1875,User3928,Full Member,237.0,4.389,30.0,4.0,"December 03, 2013"
