id,username,position,posts,ppd,up,down,registered
25,User4932,Vendor,58,0.352,0.0,1.0,"December 07, 2013"
27,User1641,Vendor,64,0.388,13.0,2.0,"December 08, 2013"
61,User4062,Full Member,119,0.73,14.0,30.0,"December 09, 2013"
138,User4592,Vendor,24,0.108,4.0,1.0,"October 11, 2013"
178,User3171,Vendor,52,0.331,0.0,5.0,"December 15, 2013"
188,User5628,Vendor,9,0.057,5.0,0.0,"December 16, 2013"
207,User4519,Full Member,102,0.65,1.0,1.0,"December 17, 2013"
251,User2408,Full Member,103,0.648,2.0,0.0,"December 20, 2013"
321,User5555,Hero Member,505,3.237,33.0,9.0,"December 23, 2013"
425,User4597,Full Member,120,0.833,8.0,2.0,"December 28, 2013"
489,User300,Full Member,115,0.772,6.0,11.0,"December 30, 2013"
541,User2122,Full Member,149,1.064,8.0,20.0,"January 01, 2014"
566,User4745,Full Member,102,0.761,3.0,0.0,"January 02, 2014"
634,User587,Full Member,105,0.739,7.0,6.0,"January 05, 2014"
639,User107,Vendor,73,0.537,7.0,2.0,"January 06, 2014"
668,User1158,Vendor,11,0.051,1.0,0.0,"October 19, 2013"
706,User1663,Full Member,138,0.667,8.0,3.0,"October 27, 2013"
728,User1685,Vendor,6,0.031,1.0,1.0,"November 08, 2013"
730,User3662,Vendor,10,0.051,0.0,0.0,"November 08, 2013"
740,User475,Full Member,106,0.535,11.0,4.0,"November 11, 2013"
743,User692,Vendor,17,0.089,8.0,4.0,"November 12, 2013"
748,User4340,Vendor,103,0.545,2.0,1.0,"November 13, 2013"
761,User517,Vendor,9,0.048,2.0,4.0,"November 17, 2013"
815,User3211,Vendor,4,0.024,0.0,1.0,"November 20, 2013"
888,User245,Vendor,8,0.045,2.0,0.0,"November 25, 2013"
905,User973,Vendor,3,0.013,2.0,0.0,"October 09, 2013"
938,User1679,Vendor,69,0.397,20.0,2.0,"November 28, 2013"
961,User691,Vendor,5,0.029,0.0,0.0,"November 30, 2013"
977,User2693,Full Member,117,0.701,3.0,0.0,"December 01, 2013"
986,User2633,Vendor,12,0.069,0.0,6.0,"December 01, 2013"
993,User1407,Vendor,26,0.116,5.0,2.0,"October 10, 2013"
1017,User5046,Full Member,100,0.588,14.0,3.0,"December 02, 2013"
1068,User5908,Full Member,248,1.409,26.0,12.0,"December 03, 2013"
1129,User4673,Vendor,5,0.022,2.0,0.0,"October 08, 2013"
1168,User1932,Vendor,211,1.0,124.0,14.0,"October 29, 2013"
1193,User511,Vendor,9,0.046,1.0,0.0,"November 09, 2013"
1210,User1045,Vendor,5,0.023,0.0,3.0,"October 21, 2013"
1245,User3510,Full Member,101,0.623,2.0,0.0,"December 12, 2013"
1246,User950,Full Member,130,0.765,17.0,5.0,"December 02, 2013"
1266,User3341,Vendor,75,0.481,3.0,19.0,"December 16, 2013"
1283,User2187,Vendor,54,0.303,0.0,1.0,"November 24, 2013"
1341,User3021,Vendor,74,0.468,18.0,5.0,"December 14, 2013"
1356,User4987,Vendor,5,0.025,1.0,0.0,"November 06, 2013"
1475,User1536,Full Member,100,0.714,11.0,4.0,"January 01, 2014"
1518,User5749,Full Member,109,0.757,6.0,5.0,"December 29, 2013"
