id,username,position,posts,ppd,up,down,registered
25,Super168,Vendor,58,0.175,0.0,1.0,"December 07, 2013"
27,Save0nDrugs,Vendor,72,0.217,13.0,2.0,"December 08, 2013"
61,SpringHorse,Full Member,119,0.361,14.0,30.0,"December 09, 2013"
72,richie,Full Member,195,0.593,21.0,13.0,"December 10, 2013"
138,MeanieMart,Vendor,16,0.041,16.0,8.0,"October 11, 2013"
160,onion_1234,Full Member,137,0.422,41.0,17.0,"December 14, 2013"
178,SuperTrips,Vendor,52,0.16,0.0,5.0,"December 15, 2013"
187,kssr,Full Member,100,0.257,4.0,3.0,"October 11, 2013"
188,lexq,Vendor,9,0.028,5.0,1.0,"December 16, 2013"
207,bartenderscott,Full Member,102,0.316,1.0,1.0,"December 17, 2013"
251,lovestochill,Full Member,150,0.469,23.0,2.0,"December 20, 2013"
321,C_2_C,Hero Member,772,2.443,58.0,18.0,"December 23, 2013"
364,DewDads,Full Member,117,0.374,10.0,2.0,"December 26, 2013"
416,THEPUNISHER,Full Member,104,0.334,13.0,3.0,"December 28, 2013"
425,ChillBill,Full Member,124,0.399,9.0,2.0,"December 28, 2013"
489,mdma88,Full Member,122,0.395,8.0,11.0,"December 30, 2013"
514,fivevo,Full Member,138,0.358,3.0,1.0,"October 14, 2013"
529,TLT13,Full Member,165,0.427,68.0,14.0,"October 14, 2013"
541,ikeburna,Full Member,149,0.485,8.0,23.0,"January 01, 2014"
566,BushDoofRave,Full Member,102,0.334,3.0,0.0,"January 02, 2014"
634,ThatStonerGuy21,Hero Member,739,2.439,55.0,51.0,"January 05, 2014"
639,MuadDib,Vendor,90,0.298,7.0,2.0,"January 06, 2014"
668,Dutch Pride,Vendor,12,0.031,1.0,0.0,"October 19, 2013"
706,CLKR,Full Member,106,0.284,8.0,3.0,"October 27, 2013"
740,Jmc007,Full Member,110,0.306,13.0,4.0,"November 11, 2013"
743,MeisterProper,Vendor,20,0.056,8.0,4.0,"November 12, 2013"
748,Triumvirate,Vendor,103,0.289,4.0,1.0,"November 13, 2013"
761,TheHerbalist,Vendor,9,0.025,2.0,4.0,"November 17, 2013"
815,Weedmaster101,Vendor,7,0.02,2.0,1.0,"November 20, 2013"
905,JackBlue,Vendor,3,0.008,3.0,0.0,"October 09, 2013"
938,Dr. Paradise,Vendor,69,0.204,20.0,2.0,"November 28, 2013"
977,Righteous,Full Member,117,0.347,3.0,0.0,"December 01, 2013"
993,Pharmington Rex,Vendor,295,0.76,19.0,91.0,"October 10, 2013"
1017,Bazookas,Full Member,121,0.362,15.0,5.0,"December 02, 2013"
1068,juicybooty,Sr. Member,285,0.856,32.0,29.0,"December 03, 2013"
1129,Caslava,Vendor,8,0.021,2.0,0.0,"October 08, 2013"
1168,Nidge,Vendor,281,0.755,194.0,19.0,"October 29, 2013"
1189,DoctaShwartz,Hero Member,634,1.817,130.0,28.0,"November 20, 2013"
1193,RepAAA,Vendor,13,0.036,1.0,0.0,"November 09, 2013"
1212,thebank2,Full Member,115,0.353,17.0,10.0,"December 13, 2013"
1214,triker,Full Member,137,0.699,7.0,6.0,"April 22, 2014"
1245,MrPotatoHead,Full Member,111,0.339,2.0,0.0,"December 12, 2013"
1246,p0l0,Full Member,130,0.389,17.0,6.0,"December 02, 2013"
1266,dankestkush,Vendor,75,0.232,3.0,19.0,"December 16, 2013"
1283,MrMcfeely,Vendor,54,0.157,0.0,1.0,"November 24, 2013"
1330,ViceVersa,Full Member,123,0.377,35.0,15.0,"December 13, 2013"
1339,thereallindalovelace,Vendor,88,0.254,2.0,4.0,"November 23, 2013"
1341,aKid,Vendor,74,0.228,18.0,6.0,"December 14, 2013"
1374,reddex,Full Member,100,0.266,9.0,7.0,"October 24, 2013"
1437,ReD EyE,Vendor,112,0.318,32.0,6.0,"November 17, 2013"
1482,MyConnect,Vendor,88,0.286,11.0,7.0,"December 31, 2013"
1512,zulk™,Full Member,139,0.419,16.0,2.0,"December 04, 2013"
1518,uk_cheese,Full Member,109,0.352,6.0,5.0,"December 29, 2013"
1526,The Guy Fawkes,Full Member,149,0.423,43.0,4.0,"November 17, 2013"
1568,identity,Vendor,58,0.186,1.0,1.0,"December 28, 2013"
1591,justatempacc,Full Member,104,0.321,3.0,1.0,"December 16, 2013"
1595,TearItDown,Full Member,119,0.34,14.0,1.0,"November 20, 2013"
1640,odb92,Full Member,145,0.462,54.0,7.0,"December 25, 2013"
1665,MoneySell,Vendor,58,0.195,0.0,0.0,"January 08, 2014"
1677,Quality Hydro Buds,Vendor,89,0.255,10.0,12.0,"November 20, 2013"
1682,immortalQ,Sr. Member,287,0.944,24.0,30.0,"January 04, 2014"
1683,White Heat,Full Member,175,0.448,35.0,14.0,"October 09, 2013"
1689,iNeed Sleep,Full Member,136,0.464,7.0,5.0,"January 15, 2014"
1698,DoctorZoidberg,Vendor,143,0.427,17.0,3.0,"December 01, 2013"
1706,It Burns,Full Member,124,0.4,9.0,6.0,"December 30, 2013"
1708,gomojo,Full Member,110,0.373,4.0,2.0,"January 13, 2014"
1711,livin4dietcoke,Full Member,107,0.347,11.0,12.0,"January 01, 2014"
1723,Whitedreams,Full Member,107,0.35,6.0,32.0,"January 03, 2014"
