id,username,position,posts,ppd,up,down,registered
25,User4932,Vendor,58,0.179,0.0,1.0,"December 07, 2013"
27,User1641,Vendor,71,0.22,13.0,2.0,"December 08, 2013"
61,User4062,Full Member,119,0.371,14.0,30.0,"December 09, 2013"
72,User1074,Full Member,195,0.607,19.0,13.0,"December 10, 2013"
138,User4592,Vendor,16,0.042,16.0,8.0,"October 11, 2013"
160,User914,Full Member,138,0.437,40.0,17.0,"December 14, 2013"
178,User3171,Vendor,52,0.165,0.0,5.0,"December 15, 2013"
187,User1926,Full Member,100,0.262,4.0,3.0,"October 11, 2013"
188,User5628,Vendor,9,0.028,5.0,1.0,"December 16, 2013"
207,User4519,Full Member,102,0.324,1.0,1.0,"December 17, 2013"
251,User2408,Full Member,150,0.482,23.0,2.0,"December 20, 2013"
321,User5555,Hero Member,738,2.404,52.0,17.0,"December 23, 2013"
364,User2104,Full Member,114,0.375,10.0,2.0,"December 26, 2013"
416,User4140,Full Member,104,0.343,13.0,3.0,"December 28, 2013"
425,User4597,Full Member,124,0.409,9.0,2.0,"December 28, 2013"
489,User300,Full Member,122,0.405,8.0,11.0,"December 30, 2013"
514,User4201,Full Member,138,0.365,3.0,1.0,"October 14, 2013"
529,User864,Full Member,164,0.435,66.0,13.0,"October 14, 2013"
541,User2122,Full Member,149,0.498,8.0,23.0,"January 01, 2014"
566,User4745,Full Member,102,0.339,3.0,0.0,"January 02, 2014"
634,User587,Hero Member,738,2.51,55.0,51.0,"January 05, 2014"
639,User107,Vendor,90,0.306,7.0,2.0,"January 06, 2014"
668,User1158,Vendor,12,0.032,1.0,0.0,"October 19, 2013"
706,User1663,Full Member,106,0.29,8.0,3.0,"October 27, 2013"
740,User475,Full Member,110,0.313,13.0,4.0,"November 11, 2013"
743,User692,Vendor,20,0.057,8.0,4.0,"November 12, 2013"
748,User4340,Vendor,103,0.296,4.0,1.0,"November 13, 2013"
761,User517,Vendor,9,0.026,2.0,4.0,"November 17, 2013"
815,User3211,Vendor,7,0.02,2.0,1.0,"November 20, 2013"
905,User973,Vendor,3,0.008,3.0,0.0,"October 09, 2013"
938,User1679,Vendor,69,0.207,20.0,2.0,"November 28, 2013"
977,User2693,Full Member,117,0.352,3.0,0.0,"December 01, 2013"
993,User1407,Vendor,295,0.772,19.0,91.0,"October 10, 2013"
1017,User5046,Full Member,121,0.368,15.0,5.0,"December 02, 2013"
1068,User5908,Sr. Member,285,0.872,32.0,29.0,"December 03, 2013"
1129,User4673,Vendor,8,0.021,2.0,0.0,"October 08, 2013"
1168,User1932,Vendor,281,0.774,194.0,19.0,"October 29, 2013"
1189,User5605,Hero Member,612,1.795,128.0,27.0,"November 20, 2013"
1193,User511,Vendor,13,0.037,1.0,0.0,"November 09, 2013"
1212,User3544,Full Member,115,0.362,17.0,10.0,"December 13, 2013"
1214,User2339,Full Member,137,0.725,7.0,6.0,"April 22, 2014"
1245,User3510,Full Member,103,0.323,2.0,0.0,"December 12, 2013"
1246,User950,Full Member,130,0.395,17.0,6.0,"December 02, 2013"
1266,User3341,Vendor,75,0.238,3.0,19.0,"December 16, 2013"
1283,User2187,Vendor,54,0.16,0.0,1.0,"November 24, 2013"
1330,User1439,Full Member,123,0.388,35.0,15.0,"December 13, 2013"
1339,User4019,Vendor,88,0.26,2.0,4.0,"November 23, 2013"
1341,User3021,Vendor,74,0.233,18.0,6.0,"December 14, 2013"
1437,User2084,Vendor,112,0.327,32.0,6.0,"November 17, 2013"
1482,User5178,Vendor,88,0.293,11.0,7.0,"December 31, 2013"
1512,User1085,Full Member,139,0.426,15.0,2.0,"December 04, 2013"
1518,User5749,Full Member,109,0.361,6.0,5.0,"December 29, 2013"
1526,User3597,Full Member,147,0.424,42.0,4.0,"November 17, 2013"
1568,User1438,Vendor,58,0.191,1.0,1.0,"December 28, 2013"
1591,User2629,Full Member,104,0.33,3.0,1.0,"December 16, 2013"
1595,User4622,Full Member,119,0.349,14.0,1.0,"November 20, 2013"
1640,User1115,Full Member,145,0.475,54.0,7.0,"December 25, 2013"
1665,User1216,Vendor,58,0.198,0.0,0.0,"January 08, 2014"
1677,User367,Vendor,89,0.261,10.0,12.0,"November 20, 2013"
1682,User3560,Sr. Member,287,0.97,24.0,30.0,"January 04, 2014"
1683,User4573,Full Member,174,0.454,34.0,14.0,"October 09, 2013"
1689,User4307,Full Member,136,0.477,7.0,5.0,"January 15, 2014"
1698,User2068,Vendor,143,0.433,17.0,3.0,"December 01, 2013"
1706,User5644,Full Member,124,0.411,9.0,6.0,"December 30, 2013"
1708,User1687,Full Member,110,0.383,4.0,2.0,"January 13, 2014"
1711,User1945,Full Member,107,0.358,11.0,12.0,"January 01, 2014"
1723,User2793,Full Member,107,0.359,6.0,32.0,"January 03, 2014"
1731,User6022,Full Member,104,0.324,9.0,17.0,"December 09, 2013"
1732,User4256,Full Member,178,0.627,7.0,0.0,"January 16, 2014"
1754,User1337,Vendor,112,0.327,12.0,5.0,"November 17, 2013"
1755,User4525,Vendor,9,0.024,6.0,1.0,"October 20, 2013"
1763,User2546,Vendor,609,2.144,91.0,119.0,"January 16, 2014"
1774,User57,Journalist,67,0.195,17.0,5.0,"November 17, 2013"
1788,User4655,Full Member,133,0.388,28.0,16.0,"November 17, 2013"
1793,User1869,Vendor,9,0.025,1.0,0.0,"October 27, 2013"
1798,User3970,Full Member,114,0.386,9.0,5.0,"January 05, 2014"
1808,User514,Sr. Member,373,1.087,63.0,4.0,"November 18, 2013"
1810,User1871,Full Member,234,0.624,47.0,1.0,"October 17, 2013"
1816,User3872,Sr. Member,303,0.858,47.0,17.0,"November 08, 2013"
1817,User1279,Vendor,8,0.021,1.0,0.0,"October 09, 2013"
1822,User4664,Sr. Member,264,0.812,31.0,26.0,"December 05, 2013"
1825,User2230,Sr. Member,466,1.249,72.0,54.0,"October 19, 2013"
1827,User4619,Full Member,118,0.395,5.0,5.0,"January 01, 2014"
1829,User2676,Full Member,188,0.533,20.0,9.0,"November 08, 2013"
1836,User3720,Vendor,161,0.498,152.0,82.0,"December 08, 2013"
1837,User1466,Hero Member,1604,4.676,614.0,228.0,"November 17, 2013"
1838,User2013,Full Member,135,0.353,31.0,5.0,"October 10, 2013"
1839,User2116,Full Member,127,0.406,12.0,2.0,"December 18, 2013"
1840,User1482,Full Member,121,0.383,5.0,15.0,"December 15, 2013"
1841,User5031,Vendor,23,0.06,3.0,1.0,"October 09, 2013"
1842,User2826,Full Member,243,0.721,74.0,27.0,"November 24, 2013"
1847,User2936,Sr. Member,425,1.136,66.0,20.0,"October 18, 2013"
1860,User3559,Full Member,103,0.334,7.0,0.0,"December 23, 2013"
1864,User3919,Sr. Member,263,0.795,55.0,8.0,"November 30, 2013"
1865,User4692,Sr. Member,402,1.381,30.0,16.0,"January 09, 2014"
1870,User746,Vendor,146,0.441,9.0,16.0,"November 30, 2013"
1872,User1405,Full Member,113,0.373,2.0,6.0,"December 28, 2013"
1873,User4088,Full Member,248,0.649,31.0,22.0,"October 10, 2013"
1875,User3928,Full Member,248,0.758,33.0,6.0,"December 03, 2013"
1876,User3156,Vendor,169,0.52,16.0,5.0,"December 06, 2013"
1881,User673,Full Member,145,0.423,18.0,16.0,"November 18, 2013"
1882,User4555,Full Member,164,0.427,13.0,2.0,"October 08, 2013"
1887,User1413,Full Member,163,0.521,6.0,0.0,"December 19, 2013"
1888,User3874,Full Member,224,0.586,82.0,9.0,"October 09, 2013"
1889,User2306,Full Member,167,0.456,81.0,109.0,"October 27, 2013"
1890,User3109,Full Member,125,0.403,6.0,4.0,"December 20, 2013"
1891,User1429,Vendor,79,0.212,33.0,16.0,"October 20, 2013"
1894,User4211,Full Member,162,0.45,32.0,23.0,"October 31, 2013"
1896,User1230,Hero Member,832,2.625,194.0,80.0,"December 14, 2013"
1899,User5579,Vendor,12,0.031,0.0,0.0,"October 09, 2013"
1900,User2172,Sr. Member,285,0.748,214.0,3.0,"October 11, 2013"
1901,User5227,Full Member,138,0.38,57.0,6.0,"October 29, 2013"
1902,User3055,Vendor,79,0.214,7.0,9.0,"October 22, 2013"
1906,User1881,Full Member,117,0.355,6.0,2.0,"November 30, 2013"
1908,User2876,Full Member,162,0.423,29.0,33.0,"October 09, 2013"
1909,User3464,Vendor,197,0.51,17.0,14.0,"October 08, 2013"
1910,User2223,Full Member,146,0.482,11.0,14.0,"December 28, 2013"
1915,User4763,Full Member,143,0.432,21.0,3.0,"December 01, 2013"
1918,User4231,Full Member,200,0.673,45.0,38.0,"January 03, 2014"
1922,User1170,Full Member,182,0.553,29.0,9.0,"December 01, 2013"
1924,User5250,Full Member,113,0.332,12.0,5.0,"November 21, 2013"
1929,User5063,Vendor,74,0.194,2.0,1.0,"October 10, 2013"
