date	score1	score2	score3	score4	score5	score6	score7	score8	score9	score10	score11	score12	score13	score14
20131227	-1.8181639437483397	-2.1653084737492243	-1.853993436717835	-2.4	-2.4	-2.4	-2.4	-1.859135940344461	-2.4	-2.4	-2.4	-2.4	-2.4	-1.96131167773
20140107	-1.908615492986712	-2.060114448430349	-2.1826253875896597	-2.4	-2.4	-2.4	-2.4	-1.9507619437062738	-2.4	-2.4	-2.4	-2.4	-2.4	-2.05397787966
20140111	-1.8162498935200888	-2.0007081037875576	-1.8330831432129786	-2.4	-2.4	-2.4	-2.4	-1.9310509231635604	-2.4	-2.4	-2.4	-2.4	-2.4	-1.96466046053
20140120	-1.8531526307105612	-2.4	-1.633621443188835	-2.4	-2.4	-2.4	-2.4	-1.9784161220501408	-2.4	-2.4	-2.4	-2.4	-2.4	-1.9612595139
20140128	-2.043489513242769	-2.4	-1.7488454624734686	-2.4	-2.4	-2.4	-2.4	-2.0628156250565834	-2.4	-2.4	-2.4	-2.4	-2.4	-2.09820077925
20140208	-1.9726376719364813	-2.4	-1.6707461515267692	-2.4	-2.4	-2.4	-2.01747626348859	-1.9761879008103052	-2.4	-2.4	-2.4	-2.4	-2.054170948642871	-2.00318030811
20140217	-2.091753816555755	-2.4	-1.7154230391611358	-2.4	-2.4	-2.4	-2.0380507468826994	-1.99978958170375	-2.4	-2.4	-2.4	-2.4	-2.0615087769286795	-2.01017774951
20140221	-2.0678281773136935	-2.4	-1.7666930892155872	-2.4	-2.4	-2.4	-2.2331237977815106	-2.2088986867722697	-2.4	-2.4	-2.4	-2.4	-2.3395962164761657	-2.14818819934
20140224	-1.8301651920887858	-2.4	-1.5684854047247807	-2.4	-2.4	-1.7690851457543948	-1.9177624483398659	-2.018924224904586	-2.4	-2.4	-2.4	-2.4	-1.9499346540763325	-1.8882392214
20140303	-1.8912595677036357	-2.4	-1.6524913703699156	-2.4	-2.4	-1.8949085547876345	-1.9301629141325227	-2.051851056421915	-2.4	-2.4	-2.4	-2.4	-1.883523159211741	-1.88207133008
20140307	-2.00663704695644	-2.4	-1.7538698804355686	-2.4	-2.4	-1.7459905917111422	-2.0893043257217085	-2.2016326236966863	-2.4	-2.4	-2.0073491220166093	-2.4	-1.978003976171344	-1.98363553648
20140310	-1.9881717714594827	-2.4	-1.7150803126065302	-2.4	-2.4	-1.8291679727671297	-2.0232722450766008	-2.131354160746339	-2.4	-2.4	-2.122614969808949	-2.4	-1.851300059624519	-1.94228941187
20140407	-1.984221138178631	-2.4	-1.790071941490228	-2.4	-2.4	-1.8456690453836364	-1.9592451296077793	-2.4	-2.4	-2.4	-2.096679425823231	-2.4	-2.0514087075913743	-1.90029973662
20140416	-2.008776149193648	-2.4	-1.8062285495853105	-2.4	-2.4	-1.833309483637812	-2.018128147695475	-2.4	-2.4	-2.4	-2.127336930842019	-2.4	-2.10054004358818	-1.93167423582
20140421	-2.0207241271915604	-2.4	-1.8001526504369652	-2.4	-2.4	-1.7517435153980916	-2.0595734811765527	-2.4	-2.4	-2.4	-2.4	-2.4	-1.990467808151295	-1.97357253736
20140428	-2.035303209101095	-2.4	-1.75142808218393	-2.4	-2.4	-1.8101144921699464	-2.0152942045935647	-2.4	-2.4	-2.4	-2.4	-2.000298837913632	-1.9405588078036842	-2.03216425752
20140503	-2.074435155108595	-2.4	-1.7731703845140008	-2.4	-2.4	-1.9545354247840674	-2.1180409505312507	-2.4	-2.4	-2.4	-2.4	-2.0837717779209957	-1.8657791644657504	-2.0598110636
20140510	-2.033198772376331	-2.4	-1.8197164634655258	-2.4	-2.4	-1.9335843977845195	-1.991492323000379	-2.4	-2.4	-2.4	-2.4	-2.0190060684213536	-2.059111742319247	-1.98021418486
20140517	-2.1253166590361108	-2.4	-1.9369110751497027	-2.4	-2.4	-1.9093302411580977	-2.268328763491733	-2.4	-2.4	-2.4	-2.4	-2.0596426129035694	-2.2393408930792655	-2.02470227605
20140524	-2.0642036170773332	-2.4	-1.9584770517207182	-2.4	-2.4	-1.8924476883221506	-2.20110501931719	-2.4	-2.4	-2.4	-2.4	-2.1572296312986987	-2.1340464565597466	-2.05293236642
20140529	-1.9564398841113733	-2.4	-1.9346787686561242	-2.4	-2.4	-1.8201706232146861	-2.0563643478667024	-2.4	-2.0067992135633603	-2.4	-2.4	-2.110362047896078	-2.0141866747281028	-1.91755124615
20140604	-1.9993819344083155	-2.4	-1.94854004389028	-2.4	-2.4	-1.8593044300045203	-2.224691216134178	-2.4	-2.0585732593421664	-2.4	-2.4	-2.4	-1.9801132331922093	-2.00770552017
20140607	-1.991797437504384	-2.4	-1.9694912404613003	-2.4	-2.4	-1.856550827812383	-2.157755484440674	-2.4	-2.0284711594250777	-2.4	-2.4	-2.4	-2.040438850181427	-1.96745759973
20140611	-1.9900130024874998	-2.4	-1.9671535983785258	-2.4	-2.4	-1.8958523009063566	-2.0438192715067705	-2.4	-2.4	-2.4	-2.4	-2.4	-2.0384773286100337	-1.94678642029
20140619	-1.7781668726077289	-2.4	-1.9945157641326652	-2.4	-2.4	-1.893602503235095	-2.130634036751155	-2.4	-2.4	-1.9585813466737672	-2.4	-2.4	-2.4	-1.9295963826
20140624	-2.4	-2.4	-2.0600217740855147	-2.4	-2.1653598600877295	-2.0312467004615744	-2.4	-2.4	-2.4	-2.0545994776569203	-2.4	-2.4	-2.4	-1.97809940127
20140630	-2.4	-2.4	-2.109369689615309	-2.007845403497404	-2.2890750706258367	-2.205181359860474	-2.4	-2.4	-2.4	-2.1125807540174173	-2.4	-2.4	-2.4	-2.04037111121
20140705	-2.4	-2.4	-2.4	-1.8973638117556801	-2.266344342971009	-2.0916826931880665	-2.4	-2.4	-2.4	-2.1100682737928267	-2.4	-2.4	-2.4	-1.99555072906
20140720	-2.4	-2.4	-2.4	-1.839323362412258	-2.2054849121199354	-2.2077804361732625	-2.4	-2.4	-2.4	-2.009879254658403	-2.4	-2.4	-2.4	-1.89859484763
